SID,SMILES,-log10(Carcinogenicity-Mouse_(TD50) [mmol/kg-bw/day])
48413729,CC12CCC3C(C1CCC2OC(=O)CC4=CC=C(C=C4)N(CCCl)CCCl)CCC5=C3C=CC(=C5)OC(=O)CC6=CC=C(C=C6)N(CCCl)CCCl,2.7351821769904636
48413730,COC1=CC=C(C=C1)CC=C,0.4559319556497244
48413732,CCC1=NC=CC(=C1)C(=S)N,0.3798639450262425
48413734,CCSCCC(C(=O)O)N,0.3595185630295782
48413736,CCOC1=CC=CC=C1C(=O)N,-0.4927603890268375
48413738,CCOC(=O)C=C,-0.5105450102066121
48413745,CCN(C=O)N,1.4975728800155674
48413747,CCN(C(=N[N+](=O)[O-])N)N=O,1.75448733218585
48413751,CCC1=CC=CC=C1,-1.1789769472931695
48413754,C1CN1,2.057991946977687
48413755,C1CO1,-0.16136800223497488
48413756,C1CNC(=S)N1,0.638272163982407
48413760,CCCCC(CC)CO,-1.110589710299249
48413761,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-1.021189299069938
48413762,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,-0.2528530309798932
48413763,CCNN.Cl,1.1681302257194983
48413768,CCS(=O)(=O)C1=CC=C(C2=CC=CC=C21)S(=O)(=O)N,1.1518108830086013
48413780,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,0.057991946977686754
48413786,C1=CC(=CC=C1C2=CC=C(C=C2)F)N,2.215382707367125
48413789,C1=C(C(=O)NC(=O)N1)F,1.6420651529995463
48413792,C=O,-0.1643528557844371
48413795,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NNC=O,1.3716110699496884
48413797,C(=O)NN,0.2175273758337138
48413799,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,2.026410376572743
48413801,C1=COC=C1,1.3979400086720375
48413802,C1=COC(=C1)C=O,-0.31175386105575426
48413803,C1=COC(=C1)CO,-0.42813479402878885
48413804,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,-0.3443922736851107
48413809,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],0.6536470255493614
48413813,CC1=CC=CN2C1=NC3=C2N=C(C=C3)N,1.5654310959658013
48413814,C1=CC2=NC3=C(N2C=C1)N=C(C=C3)N,1.0609802235513335
48413816,C1=CC(=CC=C1C(=O)O)NNC(=O)CCC(C(=O)O)N,0.006563769502388274
48413823,C1C(O1)CO,0.32975414692587596
48413831,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,1.4078232426041333
48413834,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(C(=C(C=C3O2)Cl)Cl)Cl,5.436518914605589
48413836,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,2.489454989793388
48413839,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,0.640164517660112
48413841,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1.6420651529995463
48413841,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1.6420651529995463
48413841,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1.6420651529995463
48413841,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1.6420651529995463
48413846,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.1553360374650618
48413848,CC=CC=CC=O,-0.26245108973042947
48413853,CCCCCC=NN(C)C=O,1.826813731587726
48413854,CCCCCC(=O)N,-1.2278867046136734
48413855,CCCCCC,-2.546542663478131
48413861,NN,1.0390538042661686
48413862,NN.OS(=O)(=O)O,1.234331445240986
48413863,C1=CC(=CC=C1C2=CSC(=N2)NN)N,1.2612194415156308
48413864,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NN,1.1396619934290064
48413865,C1=CC(=CC=C1C2=CSC(=N2)NN)[N+](=O)[O-],1.3477536589966768
48413868,C1=CC(=CC=C1C(=O)O)NN.Cl,-0.4727564493172124
48413869,C1=CC=C(C=C1)NNC2=CC=CC=C2,0.8507808873446201
48413874,OO,-2.346352974450639
48413875,C1=CC(=CC=C1O)O,-0.3096301674258988
48413878,CC(=O)N(C1=CC2=C(C=C1)C3=CC=CC=C3C2)O,1.585026652029182
48413882,COC1=CC=C(C=C1)C(C=C)O,0.45345733652186904
48413885,C(CO)N(C(=O)N)N=O,2.211124884224583
48413887,C(CO)NN,2.282329496997738
48413890,C=CC(C1=CC2=C(C=C1)OCO2)O,0.3979400086720376
48413892,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,1.0540392964224314
48413893,C1=CN(N=C1NC(=NCC(F)(F)F)N)CCCCC(=O)N,-0.2648178230095365
48413900,CC(C1OCC(O1)CO)I,0.27164621797877153
48413904,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,1.0048037084028205
48413910,CC(C)CON=O,-0.47856649559384334
48413916,C1=CN=CC=C1C(=O)NN,0.7033348097384688
48413919,COC1=CC(=CNNC(=O)C2=CC=NC=C2)C=CC1=O,0.9956786262173574
48413921,C1CN(P(=O)(OC1)NCCCl)CCCl,1.712198270069774
48413922,CC(=C)C=C,-0.60422605308447
48413933,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,2.6989700043360187
48413935,C1=C(OC=C(C1=O)O)CO,-0.6655809910179531
48413938,CC(=O)O[Pb]OC(=O)C.O.O.O.O.[Pb].[Pb],0.2335871528876005
48413940,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C,0.8827287043442358
48413948,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,-0.10380372095595687
48413951,CC1=CC(=C2C(=C1O)C(=O)C34C5C6C(C3C(=O)C7=C(C8=C(C=C(C(=C8C(=O)C67C(C5O)C(=O)C4=C2O)O)C)O)O)O)O,1.489454989793388
48413957,C(=C[O-])C=O.[Na+],0.8239087409443188
48413963,CC1=C(N=C2C(=C1)C3=CC=CC=C3N2)[NH3+].CC(=O)[O-],1.0639892042847905
48413964,CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C,1.136677139879544
48413965,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N,0.9430951486635274
48413968,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,3.3089185078770313
48413977,C[Hg]Cl,2.238072161579471
48413984,COC1=NN(C(=O)S1)CSP(=S)(OC)OC,1.6989700043360187
48413989,COC1=C(C=CC(=C1)N=NC2=CC=CC=C2)N,0.5767541260631921
48413998,CC(C)(C)OC,-1.8709888137605752
48414002,CC(C)(C(=O)OC)OC1=CC=C(C=C1)C2=CC=C(C=C2)Cl,2.0840727883028842
48414003,CN1C=C(C(=O)C2=C1N=C(C=C2)C=CC3=CC=C(O3)[N+](=O)[O-])C(=O)[O-].[K+],1.6736641390712486
48414006,CN(C=O)N,1.7328282715969863
48414011,COS(=O)(=O)C,0.5391021572434522
48414012,CN(C(=N[N+](=O)[O-])N)N=O,1.8601209135987635
48414013,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)[N+](=O)[O-],2.2335871528876003
48414022,CN1CCCC1=O,-1.3159703454569178
48414026,CC(C)CC=NN(C)C=O,1.8041003475907664
48414032,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N.Cl.Cl,0.707743928643524
48414034,C(Cl)Cl,-1.1139433523068367
48414035,CN(C)C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C)C,0.08937559511079879
48414037,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N.Cl.Cl,0.9244530386074693
48414038,CCC(=NO)C,-0.787460474518415
48414039,COC1=C(C=C(C=C1)CC=C)OC,0.9665762445130504
48414042,CNN,0.785156151952302
48414043,CN[NH3+].OS(=O)(=O)[O-],1.723538195826756
48414045,CC1=NC=CN1,-0.9786369483844743
48414051,CN(C1=NC=NC2=C1NC=N2)N=O,0.9956786262173574
48414052,CN(C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N=O,1.2291479883578558
48414054,C=CC(=O)NCO,0.5800442515102421
48414055,COC(=O)C(C1CCCCN1)C2=CC=CC=C2.Cl,0.43062609038495414
48414062,CC1=NC=C(N1CCO)[N+](=O)[O-],-0.4712917110589386
48414064,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,0.5044556624535516
48414065,C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,2.575118363368933
48414069,O=[Mo](=O)=O,1.3705904008972811
48414070,CC(=O)NN,0.8761483590329142
48414084,C1=CC=C2C=CC=CC2=C1,-0.10380372095595687
48414087,C1=CC2=C(C=CC=C2N)C(=C1)N,-0.008600171761917567
48414091,C1=CC=C2C(=C1)C=CC=C2N,0.3279021420642826
48414092,C1=CC=C2C=C(C=CC2=C1)N,0.5606673061697374
48414104,C1=CC(=CN=C1)C(=O)NN,-0.22010808804005508
48414107,CCNC(=O)NC1=NC=C(S1)[N+](=O)[O-],-0.5453071164658241
48414110,C(C(=O)O)N(CC(=O)O)CC(=O)O,-1.1430148002540952
48414113,CCOC1=C(C=C(C=C1)NC(=O)C)[N+](=O)[O-],-1.0043213737826426
48414114,COC1=C(C=C(C=C1)[N+](=O)[O-])N,-1.3443922736851108
48414115,C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N,0.8096683018297085
48414118,C1=CC2=NC=C(N2C=C1)C3=CC=C(O3)[N+](=O)[O-],0.9281179926938746
